genre,genre_id
"Memoir, Nonfiction, Biography, Biography Memoir, Audiobook, Writing, Autobiography",294
"Fiction, Classics, Historical Fiction, Literature, Religion, Novels, British Literature",295
"Fiction, Classics, Africa, Literature, Novels, British Literature, Literary Fiction",296
"Fiction, Classics, Historical Fiction, War, Literature, Novels, Asia",297
"Fiction, Classics, Historical Fiction, War, Literature, Literary Fiction, Novels",298
"Fiction, Contemporary, Novels, Literary Fiction, Literature, British Literature, Adult",299
"Fiction, Contemporary, Novels, Literary Fiction, British Literature, Literature, Historical Fiction",300
"Fiction, Childrens, Mystery, Young Adult, Middle Grade, Classics, Realistic Fiction",301
"Fiction, Thriller, Espionage, Mystery, Adventure, Classics, Audiobook",302
"Fiction, Thriller, Classics, Mystery, Espionage, Adventure, Crime",303
"Fiction, Thriller, Espionage, Adventure, Mystery, Classics, Crime",304
"Fiction, Thriller, Espionage, Mystery, Adventure, Classics, Crime",305
"Fiction, Thriller, Espionage, Mystery, Adventure, Classics, Mystery Thriller",306
"Fiction, Contemporary, Novels, Literary Fiction, Literature, American, Family",307
"Mystery, Fiction, Crime, Detective, Mystery Thriller, British Literature, Thriller",308
"Mystery, Fiction, Crime, Detective, British Literature, Mystery Thriller, Audiobook",309
"Classics, Fiction, Literature, Spanish Literature, Adventure, Historical Fiction, Novels",310
"Fiction, India, Historical Fiction, Literary Fiction, Literature, Indian Literature, Historical",311
"Travel, Nonfiction, India, Memoir, Biography, Religion, Asia",312
"Fiction, Historical Fiction, Romance, Contemporary, Literary Fiction, Novels, Book Club",313
"Science, Nonfiction, Physics, History, Classics, Philosophy, Astronomy",314
"History, Nonfiction, Food, Audiobook, Historical, Food and Drink, School",315
"Religion, History, Nonfiction, Philosophy, Spirituality, Islam, Theology",316
"Classics, Fiction, Literature, Novels, Historical Fiction, American, Spain",317
"Science Fiction, Fiction, Fantasy, Mythology, Science Fiction Fantasy, Space Opera, Speculative Fiction",318
"Science Fiction, Fantasy, Fiction, Mythology, Science Fiction Fantasy, Space Opera, Historical Fiction",319
"Horror, Historical Fiction, Fiction, Fantasy, Thriller, Historical, Adventure",320
"Science Fiction, Fiction, Fantasy, Space Opera, Science Fiction Fantasy, Audiobook, Time Travel",321
"Horror, Fantasy, Fiction, Thriller, India, Mystery, Science Fiction",322
"Fiction, Childrens, Young Adult, Middle Grade, Mystery, Classics, Realistic Fiction",323
"Fiction, Historical Fiction, Novels, Literature, Historical, Literary Fiction, Contemporary",324
"Fiction, Philosophy, Spirituality, Travel, Novels, Inspirational, Religion",325
"Fiction, Philosophy, Novels, Fantasy, Spirituality, Magical Realism, Literature",326
"Short Stories, Fiction, Classics, Literature, American, 20th Century, Literary Fiction",327
"Fiction, Horror, Thriller, Mystery, Contemporary, Novels, American",328
"Spirituality, Nonfiction, Philosophy, Religion, Self Help, Psychology, Death",329
"Fiction, Mystery, Thriller, Legal Thriller, Crime, Mystery Thriller, Suspense",330
"Politics, Nonfiction, Humor, Cultural, Audiobook, Religion, Political Science",331
"Young Adult, Fiction, Religion, Realistic Fiction, Teen, Contemporary, Humor",332
"Nonfiction, Psychology, Philosophy, Self Help, Memoir, Biography, Classics",333
"Humor, Nonfiction, Cookbooks, Food, Cooking, Comedy, Memoir",334
"Humor, Nonfiction, Short Stories, Memoir, Essays, Christmas, Audiobook",335
"Nonfiction, Memoir, Essays, Short Stories, Comedy, Humor, Biography",336
"Humor, Nonfiction, Memoir, Essays, Short Stories, Comedy, Biography",337
"Humor, Nonfiction, Audiobook, Memoir, Comedy, Short Stories, Essays",338
"Humor, Nonfiction, Essays, Short Stories, Memoir, Comedy, Audiobook",339
"Fiction, Crime, Noir, Historical Fiction, Mystery, Thriller, Novels",340
"Fiction, Fantasy, Classics, Adventure, Magical Realism, Novels, Literature",341
"Fiction, Contemporary, Humor, Novels, British Literature, Literature, Comedy",342
"Fiction, Contemporary, Humor, Novels, British Literature, Comedy, Adult",343
