,book_title,author,num_ratings,average_rating
344,Captivity,Debbie Lee Wesselmann,73,3.7
345,The Black Reaper,Bernard Capes,47,3.7
346,The Celtic Book of Days: A Daily Guide to Celtic Spirituality and Wisdom,Caitlín Matthews,84,3.68
347,The Key to Nicholas Street,Stanley Ellin,47,3.68
348,The Midnight Bell,Francis Lathom,96,3.68
349,A Spy at Home,Joseph Rinaldo,38,3.68
350,One Dog Happy,Molly McNett,54,3.67
351,Skurðir í rigningu,Jón Kalman Stefánsson,82,3.67
352,"Going Gray, Looking Great!: The Modern Woman's Guide to Unfading Glory",Diana Lewis Jewell,58,3.66
353,Where There's Smoke,M.J. Fredrick,80,3.66
354,Growing Citrus: The Essential Gardener's Guide,Martin  Page,35,3.66
355,Zdarzenia na brygu Banbury,Witold Gombrowicz,38,3.66
356,Mummies!: Classic Monsters of Pre-Code Horror Comics,Steve Banes,56,3.66
357,The Algonquin Wits,Robert E. Drennan,88,3.64
358,The Shadow Of Ashlydyat,Mrs. Henry Wood,41,3.63
359,Oasis,Brian Hodge,68,3.63
360,Where's My Hug?,James Mayhew,78,3.63
361,A Tale of the Other Kind,Leandi Cameron,81,3.63
362,At Chrighton Abbey and Other Horror Stories,Mary Elizabeth Braddon,50,3.62
363,L. Ron Hubbard Presents Writers of the Future 2,Algis Budrys,39,3.62
364,Miracle Myx,Dave Diotalevi,68,3.62
365,As The Crow Flies,Véronique Tadjo,98,3.61
366,365 Things Every Tea Lover Should Know,Harvest House Publishers,51,3.61
367,The Band of Gypsies,Enrico Antiporda,41,3.61
368,How to Avoid Huge Ships: And Other Implausibly Titled Books,Joel Rickett,61,3.61
369,The Sex Diaries: Why Women Go Off Sex and Other Bedroom Battles,Bettina Arndt,90,3.61
370,512 Ants on Sullivan Street,Carol A. Losi,43,3.6
371,The Genetic Lottery,Allison Goh,50,3.6
372,Secret Passages,Paul Preuss,39,3.59
373,"Manfrone; Or, the One-Handed Monk",Mary Anne Radcliffe,49,3.59
374,The Virtuoso,Sonia Orchard,51,3.59
375,Nightmare Encyclopedia: Your Darkest Dreams Interpreted,Kirsten Dalley,55,3.58
376,Autres Temps... 1916,Edith Wharton,66,3.56
377,Mine,Julie Mannino,79,3.56
378,Margaret and I,Kate Wilhelm,78,3.55
379,Snow Day!: A Winter Tale (Ready-to-Read Pre-Level 1),Joan Holub,52,3.54
380,Your Secrets Sleep With Me,Darren O'Donnell,32,3.53
381,The Horrors of Oakendale Abbey,Mrs. Carver,62,3.53
382,The Twelve Dancing Princesses: A Folk Tale from the Brothers Grimm,Freya Littledale,57,3.53
383,Everybody Knows This Is Nowhere,John McFetridge,64,3.52
384,Blood Sport,Judith E. French,64,3.52
385,The Cock and Anchor: Being a Chronicle of Old Dublin City,J. Sheridan Le Fanu,44,3.52
386,The Diary of Emily Dickinson,Jamie Fuller,93,3.51
387,"A Sunny Morning, A Comedy of Madrid",Serafín Álvarez Quintero,72,3.5
388,The Scandal Plan: Or: How to Win the Presidency by Cheating on Your Wife,Bill Folman,76,3.49
389,Artists in Exile: How Refugees from Twentieth-Century War and Revolution Transformed the American Performing Arts,Joseph Horowitz,54,3.48
390,Crossing Hitler: The Man Who Put the Nazis on the Witness Stand,Benjamin Carter Hett,95,3.48
391,"Sarah Anne Hartford : Massachusetts, 1651",Kathleen Duey,60,3.48
392,The Helmet,Richard Brown,89,3.47
393,Bully,Jan Needle,57,3.47
394,The Dark Chamber,Leonard Cline,74,3.47
395,"Flaxman Low, Occult Psychologist, Collected Stories",H. Hesketh-Prichard,83,3.47
396,Night Shivers: The Ghost Stories of J.H. Riddell,Charlotte Riddell,94,3.46
397,Nextville: Amazing Places to Live the Rest of Your Life,Barbara  Corcoran,48,3.44
398,The Shell of Sense,Olivia Howard Dunbar,45,3.44
399,Xorandor,Christine Brooke-Rose,72,3.43
400,A Beleaguered City: and Other Tales of the Seen and the Unseen,Mrs. Oliphant,86,3.41
401,Medusa,E.H. Visiak,46,3.41
402,La vera storia dell'ultimo re socialista,Roy  Lewis,85,3.41
403,Word of Honor,Tom Kirkbride,44,3.39
404,The Joss: A Reversion,Richard Marsh,45,3.38
